default	suite/aliases-in-block-sequence	c3257c52c7ceaed0
default	suite/aliases-in-explicit-block-mapping	fb58d00e3fefa58e
default	suite/aliases-in-flow-objects	3ea0a458126c1608
default	suite/aliases-in-implicit-block-mapping	4b8408d1ffcd8f86
default	suite/allowed-characters-in-alias	66a50a9d9a492d7c
default	suite/allowed-characters-in-keys	a71e069b43722b31
default	suite/allowed-characters-in-plain-scalars	b2fd8de96fd682f7
default	suite/allowed-characters-in-quoted-mapping-key	5dd3dedba5981573
default	suite/anchor-and-alias-as-mapping-key	refused
default	suite/anchor-before-sequence-entry-on-same-line	refused
default	suite/anchor-before-zero-indented-sequence	39fd08cb0f7cfb60
default	suite/anchor-for-empty-node	8668194935cbb67b
default	suite/anchor-plus-alias	refused
default	suite/anchor-with-colon-in-the-middle	5288c5b9f2e73fef
default	suite/anchor-with-unicode-character	50a06c23c8b618ff
default	suite/anchors-and-tags	dbe10be07047c376
default	suite/anchors-in-mapping	14a0f0e4a44c4fc7
default	suite/anchors-on-empty-scalars	b9a1d7d263322161
default	suite/anchors-with-colon-in-name	41e3e8f7b2088553
default	suite/backslashes-in-singlequotes	67976b5783e1fc51
default	suite/bad-indentation-in-mapping	refused
default	suite/bad-indentation-in-mapping-2	refused
default	suite/bare-document-after-document-end-marker	d0f47a3b0077440f
default	suite/blank-lines	eb047383a74dddcd
default	suite/block-mapping-with-missing-keys	ecd8d4ad8333dfa1
default	suite/block-mapping-with-missing-values	c4c53ced1ae605c1
default	suite/block-mapping-with-multiline-scalars	bbecd9b179b2b67a
default	suite/block-mappings-in-block-sequence	1239d4a9d34666a3
default	suite/block-scalar-indicator-order	2e91f9ad1381a011
default	suite/block-scalar-keep	29ac0cb027498d86
default	suite/block-scalar-strip	71bc167402102c8e
default	suite/block-scalar-strip-1-3	80aee10d2c74f42f
default	suite/block-scalar-with-more-spaces-than-first-content-line	refused
default	suite/block-scalar-with-wrong-indented-line-after-spaces-only	refused
default	suite/block-sequence-in-block-mapping	ed8ab2a89749b9c8
default	suite/block-sequence-in-block-sequence	33436b922e695a9b
default	suite/block-sequence-indentation	a0cd789dcc6b2044
default	suite/block-submapping	b95523b3afd69ba2
default	suite/colon-and-adjacent-value-after-comment-on-next-line	87f268929d32de4a
default	suite/colon-and-adjacent-value-on-next-line	87f268929d32de4a
default	suite/colon-at-the-beginning-of-adjacent-flow-scalar	7857682db630d012
default	suite/colon-followed-by-comma	375de30024cb7e5f
default	suite/colon-in-double-quoted-string	088e610b68c1ba88
default	suite/comment-and-document-end-marker	60a2eb213c2397fb
default	suite/comment-between-plain-scalar-lines	refused
default	suite/comment-in-flow-sequence-before-comma	c82cd337e96814d4
default	suite/comment-in-plain-multiline-value	refused
default	suite/comment-that-looks-like-a-mapping-key	refused
default	suite/comment-without-whitespace-after-block-scalar-indicator	refused
default	suite/comment-without-whitespace-after-doublequoted-scalar	refused
default	suite/construct-binary	b7795c72ecfa2454
default	suite/dash-in-flow-sequence	refused
default	suite/directive-by-itself-with-no-document	refused
default	suite/directive-variants/00	refused
default	suite/directive-variants/01	refused
default	suite/directive-variants/02	960ddb16d6344440
default	suite/directive-variants/03	960ddb16d6344440
default	suite/directive-variants/04	f5fd1b8db1bc3c1c
default	suite/directive-variants/05	fd0acc1cf5d0f896
default	suite/directive-variants/06	8e76b7fabcba4516
default	suite/directive-without-document	refused
default	suite/document-end-marker	e3b0c44298fc1c14
default	suite/document-start-on-last-line	bcc6ee43ab8b7435
default	suite/document-with-footer	604df07e0f192507
default	suite/double-quoted-scalar-with-escaped-single-quote	refused
default	suite/double-quoted-string-without-closing-quote	refused
default	suite/doublequoted-scalar-starting-with-a-tab	0d454e7ee5fab815
default	suite/duplicate-yaml-directive	refused
default	suite/empty-flow-collections	e13d6825a8ab51d3
default	suite/empty-implicit-key-in-single-pair-flow-sequences	1b7057e2c9dd1de6
default	suite/empty-keys-in-block-and-flow-mapping	8db3d27d0c705f9a
default	suite/empty-lines-at-end-of-document	f3743a0a18e53d13
default	suite/empty-lines-between-mapping-elements	b67ee1e121c89aa8
default	suite/empty-stream	e3b0c44298fc1c14
default	suite/escaped-slash-in-double-quotes	7b043480665ef186
default	suite/explicit-key-and-value-seperated-by-comment	2b197d56a17ce86f
